"","baker_first_name","baker_last_name","baker_age","baker_occupation","baker_hometown","series","episode","technical","signature_bake","show_stopper","result"
"252","Victoria","Chester",50,"CEO of the charity Plantlife","Somerset",3,8,NA,NA,NA,NA
"253","Brendan","Lynch",63,"Recruitment consultant","Sutton Coldfield",3,9,"3","Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets","Gateau St. Honoré","IN"
"254","John","Whaite",22,"Law student","Wigan",3,9,"2","Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons","Gateau St. Honoré a la Passion","IN"
"255","Danny","Bryden",45,"Intensive care consultant","Sheffield",3,9,"4","Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat","Rosewater and Lychee St. Honoré","OUT"
"256","James","Morton",21,"Medical student","Hillswick, Shetland Islands",3,9,"1","Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest","STAR BAKER"
"257","Cathryn","Dresser",27,"Shop assistant","Pease Pottage, West Sussex",3,9,NA,NA,NA,NA
"258","Manisha","Parmar",27,"Nursery nurse","Leicester",3,9,NA,NA,NA,NA
"259","Natasha","Stringer",36,"Midwife","Tamworth, Staffordshire",3,9,NA,NA,NA,NA
"260","Peter","Maloney",43,"Sales manager","Windsor, Berkshire",3,9,NA,NA,NA,NA
"261","Ryan","Chong",38,"Photographer","Bristol",3,9,NA,NA,NA,NA
"262","Sarah-Jane","Willis",28,"Vicar's wife","Bewbush, West Sussex",3,9,NA,NA,NA,NA
"263","Stuart","Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",3,9,NA,NA,NA,NA
"264","Victoria","Chester",50,"CEO of the charity Plantlife","Somerset",3,9,NA,NA,NA,NA
"265","Brendan","Lynch",63,"Recruitment consultant","Sutton Coldfield",3,10,"2","Potato and Pepper Pithivier","Family Reunion Chiffon Cake","Runner-up"
"266","James","Morton",21,"Medical student","Hillswick, Shetland Islands",3,10,"1","Spanish Pithivier with Chorizo and Red Pepper","United Chiffon Cakes","Runner-up"
"267","John","Whaite",22,"Law student","Wigan",3,10,"2","Italian Sausage and Roasted Vegetable Pithivier","Heaven and Hell Chiffon Cake","WINNER"
"268","Cathryn","Dresser",27,"Shop assistant","Pease Pottage, West Sussex",3,10,NA,NA,NA,NA
"269","Danny","Bryden",45,"Intensive care consultant","Sheffield",3,10,NA,NA,NA,NA
"270","Manisha","Parmar",27,"Nursery nurse","Leicester",3,10,NA,NA,NA,NA
"271","Natasha","Stringer",36,"Midwife","Tamworth, Staffordshire",3,10,NA,NA,NA,NA
